"time","global","region"
1220,61247,20259
1221,61246,20260
1222,61247,20260
1223,61249,20260
1224,61251,20261
1225,61253,20262
1226,61255,20264
1227,61256,20264
1228,61256,20264
1229,61258,20263
1230,61258,20263
1231,61260,20263
1232,61261,20264
1233,61262,20265
1234,61262,20264
1235,61263,20263
1236,61264,20264
1237,61264,20264
1238,61265,20266
1239,61267,20266
1240,61267,20266
1241,61270,20266
1242,61271,20265
1243,61271,20264
1244,61272,20262
1245,61272,20262
1246,61273,20263
1247,61273,20263
1248,61275,20264
1249,61274,20265
1250,61275,20266
1251,61274,20266
1252,61277,20264
1253,61279,20264
1254,61278,20265
1255,61279,20265
1256,61280,20265
1257,61279,20265
1258,61279,20267
1259,61280,20268
1260,61279,20268
1261,61282,20268
1262,61282,20268
1263,61283,20269
1264,61283,20270
1265,61282,20273
1266,61283,20273
1267,61283,20274
1268,61283,20274
1269,61282,20275
1270,61282,20275
1271,61283,20275
1272,61285,20276
1273,61286,20276
1274,61286,20277
1275,61286,20277
1276,61286,20277
1277,61288,20276
1278,61292,20275
1279,61293,20275
1280,61293,20276
1281,61294,20277
1282,61297,20277
1283,61297,20279
1284,61298,20278
1285,61298,20278
1286,61299,20277
1287,61300,20277
1288,61302,20277
1289,61302,20277
1290,61302,20277
1291,61301,20278
1292,61301,20278
1293,61301,20280
1294,61301,20281
1295,61304,20281
1296,61305,20282
1297,61306,20282
1298,61306,20281
1299,61307,20281
1300,61308,20281
1301,61309,20281
1302,61309,20280
1303,61311,20280
1304,61312,20281
1305,61312,20281
1306,61312,20283
1307,61313,20282
1308,61313,20282
1309,61315,20280
1310,61315,20280
1311,61315,20281
1312,61315,20282
1313,61316,20282
1314,61317,20282
1315,61317,20284
1316,61317,20285
1317,61317,20286
1318,61319,20288
1319,61320,20288
1320,61320,20289
1321,61320,20289
1322,61322,20289
1323,61323,20290
1324,61322,20292
1325,61322,20292
1326,61323,20292
1327,61322,20293
1328,61322,20292
1329,61322,20293
1330,61320,20293
1331,61323,20292
1332,61322,20292
1333,61323,20292
1334,61323,20292
1335,61323,20292
1336,61321,20294
1337,61321,20294
1338,61321,20294
1339,61321,20294
1340,61321,20294
1341,61320,20294
1342,61321,20294
1343,61322,20293
1344,61321,20293
1345,61321,20294
1346,61320,20294
1347,61321,20294
1348,61321,20293
1349,61322,20292
1350,61322,20292
1351,61323,20292
